language_script	language	language_name	script	new_length	resource_bucket	resource_label	in_min30k_candidate_pool	table3_known_task_list_count	task_list_tasks	actionable_task_count	actionable_tasks	has_tatoeba_list	has_tatoeba_local	has_bible_list	bible_flag_head_tail	has_bible_source_ready	bible_shared_verses	bible_source_file	has_ner_list	has_ner_local	has_pos_list	has_pos_local	has_roundtrip_local_jsonl	has_roundtrip_bible_proxy	text_classification_status
tca_Latn	tca	Ticuna	Latn	31852	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7727	/disk3/moon/paralleltext/bibles/corpus/tca-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
rop_Latn	rop	Kriol	Latn	31889	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7649	/disk3/moon/paralleltext/bibles/corpus/rop-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
caq_Latn	caq		Latn	31903	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7940	/disk3/moon/paralleltext/bibles/corpus/caq-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
nmf_Latn	nmf		Latn	31997	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7939	/disk3/moon/paralleltext/bibles/corpus/nmf-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
jam_Latn	jam	Jamaican Creole English	Latn	32048	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7940	/disk3/moon/paralleltext/bibles/corpus/jam-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
prk_Latn	prk		Latn	32085	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/prk-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
tbz_Latn	tbz	Ditammari	Latn	32264	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7932	/disk3/moon/paralleltext/bibles/corpus/tbz-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
suz_Deva	suz	Sunwar	Deva	32811	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/suz-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
tlh_Latn	tlh	Klingon	Latn	32863	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7936	/disk3/moon/paralleltext/bibles/corpus/tlh-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
mbb_Latn	mbb		Latn	33240	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7850	/disk3/moon/paralleltext/bibles/corpus/mbb-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
ixl_Latn	ixl	Ixil	Latn	33289	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7799	/disk3/moon/paralleltext/bibles/corpus/ixl-x-bible-2001.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
quw_Latn	quw	Tena Lowland Quichua	Latn	33449	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/quw-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
tpm_Latn	tpm		Latn	33517	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7903	/disk3/moon/paralleltext/bibles/corpus/tpm-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
csy_Latn	csy	Siyin Chin	Latn	34126	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7907	/disk3/moon/paralleltext/bibles/corpus/csy-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
aoj_Latn	aoj	Mufian	Latn	34349	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7811	/disk3/moon/paralleltext/bibles/corpus/aoj-x-bible-mufian.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
kpg_Latn	kpg	Kapingamarangi	Latn	34900	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7919	/disk3/moon/paralleltext/bibles/corpus/kpg-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
hui_Latn	hui	Huli	Latn	34926	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7841	/disk3/moon/paralleltext/bibles/corpus/hui-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
giz_Latn	giz		Latn	35040	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7940	/disk3/moon/paralleltext/bibles/corpus/giz-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
knv_Latn	knv	Tabo	Latn	35196	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7782	/disk3/moon/paralleltext/bibles/corpus/knv-x-bible-fly.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
agw_Latn	agw		Latn	35585	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7934	/disk3/moon/paralleltext/bibles/corpus/agw-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
gya_Latn	gya		Latn	35902	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7932	/disk3/moon/paralleltext/bibles/corpus/gya-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
bts_Latn	bts		Latn	36216	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7940	/disk3/moon/paralleltext/bibles/corpus/bts-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
mdy_Ethi	mdy		Ethi	36370	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7928	/disk3/moon/paralleltext/bibles/corpus/mdy-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
bim_Latn	bim		Latn	36835	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7891	/disk3/moon/paralleltext/bibles/corpus/bim-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
bqc_Latn	bqc	Boko (Benin)	Latn	36881	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7921	/disk3/moon/paralleltext/bibles/corpus/bqc-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
zom_Latn	zom		Latn	37013	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7919	/disk3/moon/paralleltext/bibles/corpus/zom-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
sba_Latn	sba		Latn	38040	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7939	/disk3/moon/paralleltext/bibles/corpus/sba-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
ikk_Latn	ikk	Ika	Latn	38071	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7940	/disk3/moon/paralleltext/bibles/corpus/ikk-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
hnj_Latn	hnj	Hmong Njua	Latn	38611	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7932	/disk3/moon/paralleltext/bibles/corpus/hnj-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
cac_Latn	cac		Latn	38812	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7905	/disk3/moon/paralleltext/bibles/corpus/cac-x-bible-ixtatan.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
mad_Latn	mad	Madurese	Latn	38993	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7886	/disk3/moon/paralleltext/bibles/corpus/mad-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
enm_Latn	enm	Middle English (1100-1500)	Latn	39809	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/enm-x-bible-bishop.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
crh_Cyrl	crh	Crimean Tatar	Cyrl	39985	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	4750	/disk3/moon/paralleltext/bibles/corpus/crh-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
kia_Latn	kia		Latn	40035	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7938	/disk3/moon/paralleltext/bibles/corpus/kia-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
teo_Latn	teo	Teso	Latn	40203	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/teo-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
ium_Latn	ium		Latn	40683	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7928	/disk3/moon/paralleltext/bibles/corpus/ium-x-bible-latin.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
gor_Latn	gor	Gorontalo	Latn	41174	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7885	/disk3/moon/paralleltext/bibles/corpus/gor-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
tih_Latn	tih		Latn	41873	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7906	/disk3/moon/paralleltext/bibles/corpus/tih-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
npi_Deva	npi	Nepali (individual language)	Deva	43072	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7888	/disk3/moon/paralleltext/bibles/corpus/npi-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
ach_Latn	ach	Acoli	Latn	43974	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7940	/disk3/moon/paralleltext/bibles/corpus/ach-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
tob_Latn	tob		Latn	44473	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7768	/disk3/moon/paralleltext/bibles/corpus/tob-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
quh_Latn	quh	South Bolivian Quechua	Latn	45566	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7892	/disk3/moon/paralleltext/bibles/corpus/quh-x-bible-1976.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
poh_Latn	poh	Poqomchi'	Latn	46454	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/poh-x-bible-eastern.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
lam_Latn	lam		Latn	46853	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7940	/disk3/moon/paralleltext/bibles/corpus/lam-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
acr_Latn	acr	Achi	Latn	48886	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7914	/disk3/moon/paralleltext/bibles/corpus/acr-x-bible-cubulcu.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
lij_Latn	lij	Ligurian	Latn	42447	30k_50k	strict_low_30k_100k	yes	2	NER,POS	1	NER	no	no	no		no	0		yes	yes	yes	no	no	no	not_available_locally_no_language_list
fur_Latn	fur	Friulian	Latn	30052	30k_50k	strict_low_30k_100k	yes	1	NER	1	NER	no	no	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
ext_Latn	ext	Extremaduran	Latn	30605	30k_50k	strict_low_30k_100k	yes	1	NER	1	NER	no	no	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
bih_Deva	bih		Deva	31658	30k_50k	strict_low_30k_100k	yes	1	NER	1	NER	no	no	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
jbo_Latn	jbo	Lojban	Latn	32619	30k_50k	strict_low_30k_100k	yes	1	NER	1	NER	no	no	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
zea_Latn	zea	Zeeuws	Latn	34426	30k_50k	strict_low_30k_100k	yes	1	NER	1	NER	no	no	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
ksh_Latn	ksh	Kölsch	Latn	38130	30k_50k	strict_low_30k_100k	yes	1	NER	1	NER	no	no	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
crh_Latn	crh	Crimean Tatar	Latn	39896	30k_50k	strict_low_30k_100k	yes	1	NER	1	NER	no	no	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
ile_Latn	ile	Interlingue	Latn	40984	30k_50k	strict_low_30k_100k	yes	1	Tatoeba	1	Tatoeba	yes	yes	no		no	0		no	no	no	no	no	no	not_available_locally_no_language_list
lfn_Latn	lfn	Lingua Franca Nova	Latn	41632	30k_50k	strict_low_30k_100k	yes	1	Tatoeba	1	Tatoeba	yes	yes	no		no	0		no	no	no	no	no	no	not_available_locally_no_language_list
sgs_Latn	sgs	Samogitian	Latn	42467	30k_50k	strict_low_30k_100k	yes	1	NER	1	NER	no	no	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
vep_Latn	vep	Veps	Latn	43076	30k_50k	strict_low_30k_100k	yes	1	NER	1	NER	no	no	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
eml_Latn	eml		Latn	44630	30k_50k	strict_low_30k_100k	yes	1	NER	1	NER	no	no	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
rap_Latn	rap	Rapanui	Latn	30102	30k_50k	strict_low_30k_100k	yes	1	Bible	0	none	no	no	yes	0	no	0		no	no	no	no	no	no	not_available_locally_no_language_list
dln_Latn	dln		Latn	30620	30k_50k	strict_low_30k_100k	no	1	Bible	0	none	no	no	yes	0	no	0		no	no	no	no	no	no	not_available_locally_no_language_list
pxm_Latn	pxm		Latn	30698	30k_50k	strict_low_30k_100k	no	1	Bible	0	none	no	no	yes	0	no	0		no	no	no	no	no	no	not_available_locally_no_language_list
aka_Latn	aka	Akan	Latn	30704	30k_50k	strict_low_30k_100k	yes	1	Bible	0	none	no	no	yes	0	no	0		no	no	no	no	no	no	not_available_locally_no_language_list
lzh_Hani	lzh	Literary Chinese	Hani	86035	50k_100k	strict_low_30k_100k	yes	3	Bible,NER,POS	3	Bible,NER,RoundtripBibleProxy	no	no	yes	0	yes	7929	/disk3/moon/paralleltext/bibles/corpus/lzh-x-bible-wenli-easy.txt	yes	yes	yes	no	no	yes	not_available_locally_no_language_list
ace_Latn	ace	Achinese	Latn	59333	50k_100k	strict_low_30k_100k	yes	2	Bible,NER	3	Bible,NER,RoundtripBibleProxy	no	no	yes	0	yes	7887	/disk3/moon/paralleltext/bibles/corpus/ace-x-bible.txt	yes	yes	no	no	no	yes	not_available_locally_no_language_list
glv_Latn	glv	Manx	Latn	55641	50k_100k	strict_low_30k_100k	yes	2	Bible,POS	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/glv-x-bible.txt	no	no	yes	no	no	yes	not_available_locally_no_language_list
aln_Latn	aln	Gheg Albanian	Latn	60989	50k_100k	strict_low_30k_100k	yes	2	Bible,POS	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/aln-x-bible.txt	no	no	yes	no	no	yes	not_available_locally_no_language_list
gkp_Latn	gkp		Latn	50549	50k_100k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7933	/disk3/moon/paralleltext/bibles/corpus/gkp-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
mps_Latn	mps	Dadibi	Latn	50645	50k_100k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7849	/disk3/moon/paralleltext/bibles/corpus/mps-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
sxn_Latn	sxn		Latn	51749	50k_100k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7886	/disk3/moon/paralleltext/bibles/corpus/sxn-x-bible-siau.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
nnb_Latn	nnb	Nande	Latn	52041	50k_100k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7936	/disk3/moon/paralleltext/bibles/corpus/nnb-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
ctd_Latn	ctd		Latn	52135	50k_100k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7875	/disk3/moon/paralleltext/bibles/corpus/ctd-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
mai_Deva	mai	Maithili	Deva	54687	50k_100k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7910	/disk3/moon/paralleltext/bibles/corpus/mai-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
hus_Latn	hus	Huastec	Latn	56176	50k_100k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7926	/disk3/moon/paralleltext/bibles/corpus/hus-x-bible-veracruz.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
ary_Arab	ary	Moroccan Arabic	Arab	56933	50k_100k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	3544	/disk3/moon/paralleltext/bibles/corpus/ary-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
ban_Latn	ban	Balinese	Latn	59805	50k_100k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7925	/disk3/moon/paralleltext/bibles/corpus/ban-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
