language_script	group	source_sentences	sampling_probability_pct	planned_samples	actual_samples	input_dir	exists_on_disk	status	notes
bel_Cyrl	seen	5319675		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/bel_Cyrl	yes	PASS	
xho_Latn	seen	1262364		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/xho_Latn	yes	PASS	
hin_Deva	seen	7046700		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/hin_Deva	yes	PASS	
tam_Taml	seen	3388255		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/tam_Taml	yes	PASS	
mon_Cyrl	seen	4616960		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/mon_Cyrl	yes	PASS	
ces_Latn	seen	20376340		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/ces_Latn	yes	PASS	
san_Deva	seen	165616		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/san_Deva	yes	PASS	
hye_Armn	seen	1463123		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/hye_Armn	yes	PASS	
pus_Arab	seen	731992		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/pus_Arab	yes	PASS	
som_Arab	seen	14199		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/som_Arab	yes	PASS	
kan_Knda	seen	41836495		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/kan_Knda	yes	PASS	
isl_Latn	seen	19547941		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/isl_Latn	yes	PASS	
ori_Orya	seen	410827		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/ori_Orya	yes	PASS	
afr_Latn	seen	5157787		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/afr_Latn	yes	PASS	
deu_Latn	seen	31015993		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/deu_Latn	yes	PASS	
urd_Arab	seen	6009594		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/urd_Arab	yes	PASS	
bul_Cyrl	seen	21823004		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/bul_Cyrl	yes	PASS	
tgl_Latn	seen	7411064		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/tgl_Latn	yes	PASS	
eus_Latn	seen	12775959		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/eus_Latn	yes	PASS	
pol_Latn	seen	19339945		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/pol_Latn	yes	PASS	
lat_Latn	seen	1179913		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/lat_Latn	yes	PASS	
tur_Latn	seen	29184662		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/tur_Latn	yes	PASS	
fra_Latn	seen	39197581		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/fra_Latn	yes	PASS	
cat_Latn	seen	8648271		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/cat_Latn	yes	PASS	
uig_Arab	seen	307302		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/uig_Arab	yes	PASS	
arb_Arab	seen	159884		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/arb_Arab	yes	PASS	
sqi_Latn	seen	5526836		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/sqi_Latn	yes	PASS	
sin_Sinh	seen	7293178		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/sin_Sinh	yes	PASS	
msa_Latn	seen	3929084		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/msa_Latn	yes	PASS	
swh_Latn	seen	95776		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/swh_Latn	yes	PASS	
kor_Hang	seen	6468444		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/kor_Hang	yes	PASS	
ukr_Cyrl	seen	7462046		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/ukr_Cyrl	yes	PASS	
kir_Cyrl	seen	1397566		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/kir_Cyrl	yes	PASS	
yid_Hebr	seen	220214		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/yid_Hebr	yes	PASS	
heb_Hebr	seen	18128962		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/heb_Hebr	yes	PASS	
nld_Latn	seen	25061426		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/nld_Latn	yes	PASS	
fry_Latn	seen	957422		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/fry_Latn	yes	PASS	
azb_Arab	seen	33758		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/azb_Arab	yes	PASS	
glg_Latn	seen	17852274		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/glg_Latn	yes	PASS	
fas_Arab	seen	18277593		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/fas_Arab	yes	PASS	
eng_Latn	seen	36122761		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/eng_Latn	yes	PASS	
mkd_Cyrl	seen	14717004		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/mkd_Cyrl	yes	PASS	
ind_Latn	seen	23018106		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/ind_Latn	yes	PASS	
por_Latn	seen	27824391		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/por_Latn	yes	PASS	
spa_Latn	seen	37286756		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/spa_Latn	yes	PASS	
dan_Latn	seen	19174573		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/dan_Latn	yes	PASS	
khm_Khmr	seen	590429		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/khm_Khmr	yes	PASS	
gla_Latn	seen	152563		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/gla_Latn	yes	PASS	
uig_Latn	seen	9637		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/uig_Latn	yes	PASS	
kat_Geor	seen	1004297		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/kat_Geor	yes	PASS	
mlg_Latn	seen	3715802		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/mlg_Latn	yes	PASS	
snd_Arab	seen	488730		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/snd_Arab	yes	PASS	
ita_Latn	seen	23539857		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/ita_Latn	yes	PASS	
hau_Arab	seen	9593		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/hau_Arab	yes	PASS	
cym_Latn	seen	1244783		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/cym_Latn	yes	PASS	
srp_Latn	seen	18371769		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/srp_Latn	yes	PASS	
zho_Hani	seen	24143786		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/zho_Hani	yes	PASS	
tha_Thai	seen	7735209		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/tha_Thai	yes	PASS	
swe_Latn	seen	20725883		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/swe_Latn	yes	PASS	
pan_Guru	seen	29052537		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/pan_Guru	yes	PASS	
prs_Arab	seen	26823		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/prs_Arab	yes	PASS	
pes_Arab	seen	57511		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/pes_Arab	yes	PASS	
san_Latn	seen	25742		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/san_Latn	yes	PASS	
kaz_Cyrl	seen	12378727		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/kaz_Cyrl	yes	PASS	
kur_Latn	seen	407169		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/kur_Latn	yes	PASS	
mal_Mlym	seen	48098273		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/mal_Mlym	yes	PASS	
nep_Deva	seen	1317291		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/nep_Deva	yes	PASS	
gle_Latn	seen	7225513		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/gle_Latn	yes	PASS	
swa_Latn	seen	5989369		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/swa_Latn	yes	PASS	
som_Latn	seen	3916769		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/som_Latn	yes	PASS	
lit_Latn	seen	12479626		45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/lit_Latn	yes	PASS	
dtp_Latn	unseen	48468	15.5268402	52028	52028	/home/axt/mnt2/jongha/v5.2_glot5007/raw/dtp_Latn	yes	PASS	
xav_Latn	unseen	31765	13.67827124	45833	45833	/home/axt/mnt2/jongha/v5.2_glot5007/raw/xav_Latn	yes	PASS	
bam_Latn	unseen	32150	13.72779695	45999	45999	/home/axt/mnt2/jongha/v5.2_glot5007/raw/bam_Latn	yes	PASS	
csb_Latn	unseen	33743	13.92841381	46672	46672	/home/axt/mnt2/jongha/v5.2_glot5007/raw/csb_Latn	yes	PASS	
ile_Latn	unseen	40984	14.76491178	49475	49475	/home/axt/mnt2/jongha/v5.2_glot5007/raw/ile_Latn	yes	PASS	
lij_Latn	unseen	42447	14.92109358	49998	49998	/home/axt/mnt2/jongha/v5.2_glot5007/raw/lij_Latn	yes	PASS	
fur_Latn	unseen	30052	13.45267244	45078	45078	/home/axt/mnt2/jongha/v5.2_glot5007/raw/fur_Latn	yes	PASS	
