run_id	token_id	token	masked_count	avg_loss	max_loss	observed_seeds	status	notes
step17_v2_added_token_failure_20260611_173758	273701	(60)	1	15.728635	15.728635	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	255311	'—	1	15.702799	15.702799	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	267384	sorʉwau	1	15.695060	15.695060	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	270638	ciento	1	15.551191	15.551191	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	272858	Decápolis	1	15.538861	15.538861	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	273313	motocatzin	1	15.409145	15.409145	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	261152	jmocom	2	15.393614	15.903985	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	251191	tɨwɨ	1	15.391100	15.391100	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	261621	xeltak	1	15.379067	15.379067	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	263436	boayuma	1	15.330388	15.330388	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	259292	cuatro	1	15.311247	15.311247	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	252768	tiaj	1	15.303410	15.303410	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	264889	Gadara	1	15.228525	15.228525	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	271549	Parapas	1	15.209556	15.209556	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	275842	Mataren	1	15.193756	15.193756	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	274283	etemajtak	1	15.179710	15.179710	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	252303	etme	1	15.177697	15.177697	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	265208	Cirene	1	15.135968	15.135968	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	272193	tiiCone	1	15.123255	15.123255	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	267202	iyent	1	15.105762	15.105762	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250024	ϪⲈ	65	5.234911	6.175890	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250015	ⲞⲨⲞϨ	120	4.775319	6.430583	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250035	rechak	59	4.487059	8.025412	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250018	ᑕᔥ	81	4.034637	5.420566	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250006	ĩna	111	3.852295	9.586815	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250032	ĩre	58	3.823370	5.509276	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250022	pɨ	60	3.523759	8.227860	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250009	rɨ	109	3.450237	5.739613	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250005	ᎠᎴ	103	3.407188	6.186235	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250008	niman	71	3.075273	6.199978	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250003	chë	60	3.064874	6.380514	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250007	uya	93	3.059100	6.936164	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250012	mɨrɨ	63	2.996655	6.005141	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250522	Jesús	258	2.761351	8.326826	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250002	pʉ	187	2.412917	8.040126	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250322	Dios	83	2.037735	7.008111	17	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	250004	bajiro	85	1.826018	8.523962	13	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	251119	Tura	66	1.354705	5.777411	23	PASS	adapted checkpoints only
step17_v2_added_token_failure_20260611_173758	272080	ristian	58	1.187481	8.518470	13	PASS	adapted checkpoints only
