rank	language_script	language	language_name	script	region	new_length	original_length	source_dataset_dir	selection_rule	selection_note	status
19	tca_Latn	tca	Ticuna	Latn		31852	38431	/disk3/moon/Glot500/data/raw/tca_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
20	rop_Latn	rop	Kriol	Latn		31889	33496	/disk3/moon/Glot500/data/raw/rop_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
21	jam_Latn	jam	Jamaican Creole English	Latn		32048	38781	/disk3/moon/Glot500/data/raw/jam_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
22	bam_Latn	bam	Bambara	Latn		32150	36761	/disk3/moon/Glot500/data/raw/bam_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
23	tbz_Latn	tbz	Ditammari	Latn		32264	32434	/disk3/moon/Glot500/data/raw/tbz_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
24	jbo_Latn	jbo	Lojban	Latn		32619	42501	/disk3/moon/Glot500/data/raw/jbo_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
25	gcr_Latn	gcr	Guianese Creole French	Latn		32676	37731	/disk3/moon/Glot500/data/raw/gcr_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
26	suz_Deva	suz	Sunwar	Deva		32811	33446	/disk3/moon/Glot500/data/raw/suz_Deva	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
27	tlh_Latn	tlh	Klingon	Latn		32863	54790	/disk3/moon/Glot500/data/raw/tlh_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
28	pcd_Latn	pcd	Picard	Latn		32867	61246	/disk3/moon/Glot500/data/raw/pcd_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
29	pfl_Latn	pfl	Pfaelzisch	Latn		33148	39976	/disk3/moon/Glot500/data/raw/pfl_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
30	ixl_Latn	ixl	Ixil	Latn		33289	34374	/disk3/moon/Glot500/data/raw/ixl_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
31	rmy_Cyrl	rmy	Vlax Romani	Cyrl		33351	39062	/disk3/moon/Glot500/data/raw/rmy_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
32	quw_Latn	quw	Tena Lowland Quichua	Latn		33449	44927	/disk3/moon/Glot500/data/raw/quw_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
33	csb_Latn	csb	Kashubian	Latn		33743	62675	/disk3/moon/Glot500/data/raw/csb_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
34	csy_Latn	csy	Siyin Chin	Latn		34126	34344	/disk3/moon/Glot500/data/raw/csy_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
35	aoj_Latn	aoj	Mufian	Latn		34349	34428	/disk3/moon/Glot500/data/raw/aoj_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
36	zea_Latn	zea	Zeeuws	Latn		34426	51257	/disk3/moon/Glot500/data/raw/zea_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
37	kpg_Latn	kpg	Kapingamarangi	Latn		34900	35150	/disk3/moon/Glot500/data/raw/kpg_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
38	hui_Latn	hui	Huli	Latn		34926	35000	/disk3/moon/Glot500/data/raw/hui_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
39	knv_Latn	knv	Tabo	Latn		35196	35229	/disk3/moon/Glot500/data/raw/knv_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
40	kom_Cyrl	kom	Komi	Cyrl		35249	52376	/disk3/moon/Glot500/data/raw/kom_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
41	bqc_Latn	bqc	Boko (Benin)	Latn		36881	37368	/disk3/moon/Glot500/data/raw/bqc_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
42	ikk_Latn	ikk	Ika	Latn		38071	38367	/disk3/moon/Glot500/data/raw/ikk_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
43	ksh_Latn	ksh	Kölsch	Latn		38130	48655	/disk3/moon/Glot500/data/raw/ksh_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
44	hnj_Latn	hnj	Hmong Njua	Latn		38611	39731	/disk3/moon/Glot500/data/raw/hnj_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
45	mad_Latn	mad	Madurese	Latn		38993	40771	/disk3/moon/Glot500/data/raw/mad_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
46	sat_Olck	sat	Santali	Olck		39614	65890	/disk3/moon/Glot500/data/raw/sat_Olck	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
47	enm_Latn	enm	Middle English (1100-1500)	Latn		39809	40522	/disk3/moon/Glot500/data/raw/enm_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
48	crh_Latn	crh	Crimean Tatar	Latn		39896	133413	/disk3/moon/Glot500/data/raw/crh_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
49	crh_Cyrl	crh	Crimean Tatar	Cyrl		39985	41878	/disk3/moon/Glot500/data/raw/crh_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
50	teo_Latn	teo	Teso	Latn		40203	47948	/disk3/moon/Glot500/data/raw/teo_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
51	ile_Latn	ile	Interlingue	Latn		40984	59926	/disk3/moon/Glot500/data/raw/ile_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
52	gor_Latn	gor	Gorontalo	Latn		41174	48206	/disk3/moon/Glot500/data/raw/gor_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
53	ful_Latn	ful	Fulah	Latn		41188	73809	/disk3/moon/Glot500/data/raw/ful_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
54	lfn_Latn	lfn	Lingua Franca Nova	Latn		41632	72650	/disk3/moon/Glot500/data/raw/lfn_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
55	tat_Latn	tat	Tatar	Latn		41640	104866	/disk3/moon/Glot500/data/raw/tat_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
56	myv_Cyrl	myv	Erzya	Cyrl		42147	69341	/disk3/moon/Glot500/data/raw/myv_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
57	lij_Latn	lij	Ligurian	Latn		42447	64623	/disk3/moon/Glot500/data/raw/lij_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
58	sgs_Latn	sgs	Samogitian	Latn		42467	76710	/disk3/moon/Glot500/data/raw/sgs_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
59	tok_Latn	tok		Latn		42820	49393	/disk3/moon/Glot500/data/raw/tok_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
60	npi_Deva	npi	Nepali (individual language)	Deva		43072	44101	/disk3/moon/Glot500/data/raw/npi_Deva	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
61	vep_Latn	vep	Veps	Latn		43076	69358	/disk3/moon/Glot500/data/raw/vep_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
62	ach_Latn	ach	Acoli	Latn		43974	51280	/disk3/moon/Glot500/data/raw/ach_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
63	acm_Arab	acm	Mesopotamian Arabic	Arab		44505	82814	/disk3/moon/Glot500/data/raw/acm_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
64	eml_Latn	eml		Latn		44630	56535	/disk3/moon/Glot500/data/raw/eml_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
65	rue_Cyrl	rue	Rusyn	Cyrl		45369	59298	/disk3/moon/Glot500/data/raw/rue_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
66	quh_Latn	quh	South Bolivian Quechua	Latn		45566	46648	/disk3/moon/Glot500/data/raw/quh_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
67	hrx_Latn	hrx	Hunsrik	Latn		45716	55036	/disk3/moon/Glot500/data/raw/hrx_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
68	poh_Latn	poh	Poqomchi'	Latn		46454	48064	/disk3/moon/Glot500/data/raw/poh_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
69	bik_Latn	bik	Bikol	Latn		46561	48620	/disk3/moon/Glot500/data/raw/bik_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
70	dtp_Latn	dtp	Kadazan Dusun	Latn		48468	52588	/disk3/moon/Glot500/data/raw/dtp_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
71	guj_Deva	guj	Gujarati	Deva		48870	77457	/disk3/moon/Glot500/data/raw/guj_Deva	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
72	acr_Latn	acr	Achi	Latn		48886	51029	/disk3/moon/Glot500/data/raw/acr_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
73	bjn_Latn	bjn	Banjar	Latn		49068	80783	/disk3/moon/Glot500/data/raw/bjn_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
74	tls_Latn	tls	Tambotalo	Latn		50286	50488	/disk3/moon/Glot500/data/raw/tls_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
75	kat_Latn	kat	Georgian	Latn		50424	158954	/disk3/moon/Glot500/data/raw/kat_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
76	mps_Latn	mps	Dadibi	Latn		50645	50786	/disk3/moon/Glot500/data/raw/mps_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
77	nnb_Latn	nnb	Nande	Latn		52041	68200	/disk3/moon/Glot500/data/raw/nnb_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
78	dzo_Tibt	dzo	Dzongkha	Tibt		52732	61333	/disk3/moon/Glot500/data/raw/dzo_Tibt	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
79	mai_Deva	mai	Maithili	Deva		54687	100508	/disk3/moon/Glot500/data/raw/mai_Deva	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
80	frr_Latn	frr	Northern Frisian	Latn		55254	96120	/disk3/moon/Glot500/data/raw/frr_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
81	glv_Latn	glv	Manx	Latn		55641	81075	/disk3/moon/Glot500/data/raw/glv_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
82	hus_Latn	hus	Huastec	Latn		56176	61329	/disk3/moon/Glot500/data/raw/hus_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
83	ary_Arab	ary	Moroccan Arabic	Arab		56933	85736	/disk3/moon/Glot500/data/raw/ary_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
84	ace_Latn	ace	Achinese	Latn		59333	66517	/disk3/moon/Glot500/data/raw/ace_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
85	ban_Latn	ban	Balinese	Latn		59805	62592	/disk3/moon/Glot500/data/raw/ban_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
86	aln_Latn	aln	Gheg Albanian	Latn		60989	61428	/disk3/moon/Glot500/data/raw/aln_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
87	gom_Deva	gom	Goan Konkani	Deva		61140	84533	/disk3/moon/Glot500/data/raw/gom_Deva	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
88	ayr_Latn	ayr	Central Aymara	Latn		61570	63182	/disk3/moon/Glot500/data/raw/ayr_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
89	bsb_Latn	bsb	Brunei Bisaya	Latn		63634	181298	/disk3/moon/Glot500/data/raw/bsb_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
90	ote_Latn	ote	Mezquital Otomi	Latn		64224	73820	/disk3/moon/Glot500/data/raw/ote_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
91	qub_Latn	qub	Huallaga Huánuco Quechua	Latn		64973	81743	/disk3/moon/Glot500/data/raw/qub_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
92	nap_Latn	nap	Neapolitan	Latn		65826	110591	/disk3/moon/Glot500/data/raw/nap_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
93	kbd_Cyrl	kbd	Kabardian	Cyrl		67914	93913	/disk3/moon/Glot500/data/raw/kbd_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
94	mzn_Arab	mzn	Mazanderani	Arab		73719	95775	/disk3/moon/Glot500/data/raw/mzn_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
95	yom_Latn	yom	Yombe	Latn		74818	89598	/disk3/moon/Glot500/data/raw/yom_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
96	bak_Latn	bak	Bashkir	Latn		76809	99951	/disk3/moon/Glot500/data/raw/bak_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
97	srm_Latn	srm	Saramaccan	Latn		76884	84646	/disk3/moon/Glot500/data/raw/srm_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
98	rmy_Latn	rmy	Vlax Romani	Latn		76991	91544	/disk3/moon/Glot500/data/raw/rmy_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
99	mgh_Latn	mgh	Makhuwa-Meetto	Latn		78117	91139	/disk3/moon/Glot500/data/raw/mgh_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
100	kjh_Cyrl	kjh	Khakas	Cyrl		79262	102288	/disk3/moon/Glot500/data/raw/kjh_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
101	gcf_Latn	gcf	Guadeloupean Creole French	Latn		80737	93633	/disk3/moon/Glot500/data/raw/gcf_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
102	ajp_Arab	ajp	South Levantine Arabic	Arab		83297	113445	/disk3/moon/Glot500/data/raw/ajp_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
103	lzh_Hani	lzh	Literary Chinese	Hani		86035	107282	/disk3/moon/Glot500/data/raw/lzh_Hani	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
104	lhu_Latn	lhu	Lahu	Latn		87255	90252	/disk3/moon/Glot500/data/raw/lhu_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
105	grn_Latn	grn	Guarani	Latn		87568	129694	/disk3/moon/Glot500/data/raw/grn_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
106	kos_Latn	kos	Kosraean	Latn		88603	99969	/disk3/moon/Glot500/data/raw/kos_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
107	kaa_Cyrl	kaa	Kara-Kalpak	Cyrl		88815	92749	/disk3/moon/Glot500/data/raw/kaa_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
108	miq_Latn	miq	Mískito	Latn		94343	108043	/disk3/moon/Glot500/data/raw/miq_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
109	alt_Cyrl	alt	Southern Altai	Cyrl		95148	114731	/disk3/moon/Glot500/data/raw/alt_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
110	hbo_Hebr	hbo	Ancient Hebrew	Hebr		96484	98412	/disk3/moon/Glot500/data/raw/hbo_Hebr	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
111	grc_Grek	grc	Ancient Greek (to 1453)	Grek		96986	100145	/disk3/moon/Glot500/data/raw/grc_Grek	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
112	djk_Latn	djk	Eastern Maroon Creole	Latn		99234	110778	/disk3/moon/Glot500/data/raw/djk_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
113	mhr_Cyrl	mhr	Eastern Mari	Cyrl		100474	141336	/disk3/moon/Glot500/data/raw/mhr_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
114	vls_Latn	vls	Vlaams	Latn		101900	146544	/disk3/moon/Glot500/data/raw/vls_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
115	apc_Arab	apc	North Levantine Arabic	Arab		102392	167867	/disk3/moon/Glot500/data/raw/apc_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
116	hsb_Latn	hsb	Upper Sorbian	Latn		104802	160647	/disk3/moon/Glot500/data/raw/hsb_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
117	naq_Latn	naq	Khoekhoe	Latn		109747	125600	/disk3/moon/Glot500/data/raw/naq_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
118	szl_Latn	szl	Silesian	Latn		112496	159021	/disk3/moon/Glot500/data/raw/szl_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
119	ngu_Latn	ngu	Guerrero Nahuatl	Latn		116851	140217	/disk3/moon/Glot500/data/raw/ngu_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
120	cbk_Latn	cbk	Chavacano	Latn		118789	143107	/disk3/moon/Glot500/data/raw/cbk_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
121	meu_Latn	meu	Motu	Latn		120273	131698	/disk3/moon/Glot500/data/raw/meu_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
122	udm_Cyrl	udm	Udmurt	Cyrl		121705	154295	/disk3/moon/Glot500/data/raw/udm_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
123	bzj_Latn	bzj	Belize Kriol English	Latn		124958	140291	/disk3/moon/Glot500/data/raw/bzj_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
124	srd_Latn	srd	Sardinian	Latn		127064	155515	/disk3/moon/Glot500/data/raw/srd_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
125	diq_Latn	diq	Dimli (individual language)	Latn		128908	218324	/disk3/moon/Glot500/data/raw/diq_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
126	kur_Arab	kur	Kurdish	Arab		134160	144050	/disk3/moon/Glot500/data/raw/kur_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
127	ahk_Latn	ahk	Akha	Latn		135068	139684	/disk3/moon/Glot500/data/raw/ahk_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
128	gom_Latn	gom	Goan Konkani	Latn		143937	172341	/disk3/moon/Glot500/data/raw/gom_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
129	sme_Latn	sme	Northern Sami	Latn		146803	192995	/disk3/moon/Glot500/data/raw/sme_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
130	wol_Latn	wol	Wolof	Latn		146992	295643	/disk3/moon/Glot500/data/raw/wol_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
131	hif_Latn	hif	Fiji Hindi	Latn		147261	164430	/disk3/moon/Glot500/data/raw/hif_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
132	ksw_Mymr	ksw	S'gaw Karen	Mymr		147674	158845	/disk3/moon/Glot500/data/raw/ksw_Mymr	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
133	nav_Latn	nav	Navajo	Latn		147702	167766	/disk3/moon/Glot500/data/raw/nav_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
134	mwl_Latn	mwl	Mirandese	Latn		150054	197747	/disk3/moon/Glot500/data/raw/mwl_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
135	arn_Latn	arn	Mapudungun	Latn		155882	186881	/disk3/moon/Glot500/data/raw/arn_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
136	kea_Latn	kea	Kabuverdianu	Latn		158047	189890	/disk3/moon/Glot500/data/raw/kea_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
137	cjk_Latn	cjk	Chokwe	Latn		160645	186633	/disk3/moon/Glot500/data/raw/cjk_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
