sample_id	iso	language	split	sample_type	verse_id	char_len	text
failure_acu_01	acu	Achuar-Shiwiar	train	long_train_candidate	b.ROM.4.14	775	Aints Yusen nekasampita tutsuk, Moisésa chichamen umirinaunka Yuska: Abrahama weariya nunisrumka wína aintsur atatrume tichamiayi. Nuna tichau waininayat, aints ainau nangkamiar chichainak: Judíochu ainau Moisésa chichamen nekainachu asar, Yusen nekasampita tichartinuitai. Tura asar Abrahama weariya nunisarka achartinuitai, nangkamiar tinawai. Antsu Yus chichaak: Wi taja nunaka nekasampita tinauka mash Abrahama weari artinuitai, timiayi. Yus ni chichamen tuke umiktin asa, nunaka nangkamikia tichamiayi. Antsu aints ainau Moisésa chichamen mash umirkartatkamawar yumatinawai. Antsu Moisésa chichame atsamtaikia, ¿ii tunaaringkia itiur nekaatjik? Tura Yus ni umirkatin chichaman aints ainautin akupturmaku asamtai, nu chichaman umirtsuk pujuinauka wait wajakartin ainawai.
sample_ake_01	ake	Akawaio	train	regular_train	b.MAT.1.1	111	Serɨ serɨ Sises tamokori ton ese' asi', kin pe te'sen Tepi' pa pe iyesi'pʉ, Epʉra'an pa pe nɨrɨ kanan iyesi'pʉ.
sample_ake_02	ake	Akawaio	train	regular_train	b.MAT.1.2	121	Epʉra'an esi'pʉ Aisi' kʉipʉnʉ pe, Aisi' esi'pʉ Seko' kʉipʉnʉ pe, Seko' esi'pʉ Isuta mɨrɨ awonsi'kɨ iyakon non kʉipʉnʉ pe,
sample_ake_03	ake	Akawaio	train	regular_train	b.MAT.1.3	151	Isuta esi'pʉ Peres mɨrɨ awonsi'kɨ Sera pokon kʉipʉnʉ pe, Temarʉ esi'pʉ na'ne' to' san pe. Peres esi'pʉ Esuran kʉipʉnʉ pe, Esuran esi'pʉ Ran kʉipʉnʉ pe,
sample_ake_04	ake	Akawaio	train	regular_train	b.MAT.1.4	102	Ran esi'pʉ Aminatapu kʉipʉnʉ pe, Aminatapu esi'pʉ Naisan kʉipʉnʉ pe, Naisan esi'pʉ Sarʉman kʉipʉnʉ pe,
sample_ake_05	ake	Akawaio	train	regular_train	b.MAT.1.5	150	Sarʉman esi'pʉ Powas kʉipʉnʉ pe, Reyapu esi'pʉ na'ne' isan pe, Powas esi'pʉ Ope' kʉipʉnʉ pe, Ru' esi'pʉ na'ne' isan pe, Ope' esi'pʉ Ise'si kʉipʉnʉ pe,
sample_ake_06	ake	Akawaio	train	regular_train	b.MAT.1.6	132	Ise'si nin si esi'pʉ mɨrɨ Tepi' kin pe te'sen kʉipʉnʉ pe. Tepi' esi'pʉ Saraman kʉipʉnʉ pe, Iuraya no'pʉ rʉ'pʉ esi'pʉ na'ne' isan pe,
sample_ake_07	ake	Akawaio	train	regular_train	b.MAT.1.7	100	Saraman esi'pʉ Reyopowan kʉipʉnʉ pe, Reyopowan esi'pʉ Apaya kʉipʉnʉ pe, Apaya esi'pʉ Esa kʉipʉnʉ pe,
sample_ake_08	ake	Akawaio	train	regular_train	b.MAT.1.8	106	Esa esi'pʉ Iseyosapa' kʉipʉnʉ pe, Iseyosapa' esi'pʉ Iseyoran kʉipʉnʉ pe, Iseyoran esi'pʉ Usaya kʉipʉnʉ pe,
sample_ake_09	ake	Akawaio	train	regular_train	b.MAT.1.9	97	Usaya esi'pʉ Iso'tan kʉipʉnʉ pe, Iso'tan esi'pʉ Eyas kʉipʉnʉ pe, Eyas esi'pʉ Esi'kaya kʉipʉnʉ pe,
sample_ake_10	ake	Akawaio	train	regular_train	b.MAT.1.10	100	Esi'kaya esi'pʉ Mana'sa kʉipʉnʉ pe, Mana'sa esi'pʉ Eman kʉipʉnʉ pe, Eman esi'pʉ Iso'saya kʉipʉnʉ pe,
failure_ake_01	ake	Akawaio	train	long_train_candidate	b.HEB.7.1	4636	Pʉse rɨ Merʉ'kisite' esi'pʉ Seren po kin pe mɨrɨ awonsi'kɨ use'man nɨto' tʉrawasomanin pe, Eke Kuru Papa iwano' pe. Epʉra'an eporo'pʉ iya kin amʉ' ewa'noma tʉpo to' enu entai tenai' iyenna'po koro'tau, mɨrɨpan pʉrema'pʉ iya, 2 mɨrɨpan repa'pʉ Epʉra'an uya 1/10 kaisa rɨ tanporon apai. Itese' wapiya na'ne' esi mɨrɨ, “Ipoken te'sen kin,” ta e'kwa pe; “Seren pon kin,” ta esi kanan, “kin, tʉusewankamai' pʉra e'nɨ esa',” ta e'kwa pe. 3 Kʉrɨ rɨ mu rʉ'pʉ mɨrɨ pe pʉra kamoro imunkɨ rʉ'san ta poken pʉra rɨ iyesi Merʉ'kisite' pɨ', iweyu epiya'tɨ'pʉ pʉra rɨ mɨrɨ pe pʉra iko'manto' u'ma'sa' tato' pʉra rɨ iyesi, Papa Mumu kasa rɨ, use'man nɨto' tʉrawasomanin pe moro rɨ iyesi inkero' pe rɨ. 4 Eke pe kuru rɨ iyesi'pʉ, tapai: Epʉra'an, utamokori kon uya irepa'pʉ 1/10 kaisa rɨ teyaton non enapai tʉnmo'ka'pʉ ke! 5 Main, Mosi' winon nin si esi Ripai payan use'man nɨto' tʉrawasomanin nan pe iyenasa' kon uya 1/10 kaisa rɨ to' uya amʉranʉ'to' pe ka'pon amʉ' piyapai—tʉtonpa kon amʉ' rɨ—Epʉra'an si'kɨrɨ rɨ to' u'tɨsa' e'tane. 6 Pʉse rɨ ka'pon uya Ripai pa pe te'to' e'ma'pʉkasa' pʉra rɨ iye'tane, mɨrɨ rɨ e'tane 1/10 kaisa rɨ Epʉra'an winɨ amʉranʉkʉ'pʉ iya mɨrɨ awonsi'kɨ ipʉrema'pʉ iya, Papa uya tauro'kapɨ'sa' ton nʉ'pʉ esa' pe te'sen. 7 Ikasima pʉra, aiko pʉrema'pʉ eke pe te'sen uya. 8 Tikin nan esi 1/10 amʉranʉkʉ teri'san kon nɨ ka'pon amʉ' uya; e'tane tʉron nɨ pe kʉrɨ, nurɨne iyesi tato' uya amʉranʉkʉ. 9 Ka'pon uya rɨ ta poken iyesi, Ripai kʉrɨ rɨ 1/10 amʉranʉkʉ pɨ' na'ne' uya 1/10 e'ma'pʉ Epʉra'an poro, 10 apʉne pʉra Merʉ'kisite' uya Epʉra'an eposa' a'tai, Ripai esi'pʉ tʉtamokori pun yau rɨ marɨ. 11 Wakʉ pe ekonekan nɨto' e'seporo pe iyesi yau Ripai payan esi use'man nɨto' tʉrawasomanin nan pe koro'tau (mɨrɨ poro main e'tʉrʉ'pʉ ka'pon amʉ' ena'), ɨ'rɨto' pe ken si tʉron nɨ kanan use'man nɨto' tʉrawasomanin uyepʉ i'se e'nɨ'pʉ—Merʉ'kisite' waraino kuru, Eran waraino pen? 12 Apʉne pʉra si Eran poro use'man nɨto' tʉrawasomanin ye' pe te'sen usensimasa' a'tai, main nɨ nɨrɨ usensimato' pe iyesi. 13 Sises si, serɨ ton usauro'sa' na'ne' ipɨ' esi tʉponaron nɨ tʉron nɨ ko' rɨ, mɨrɨ awonsi'kɨ mɨrɨ ko' awon nɨ e'tʉrawasomasa' pʉra iyesi use'man nɨto' apon po. 14 Apʉne pʉra i'tu rɨ uyepuru kon u'tɨsa' Isuta ko' winɨ, mɨrɨ ko' amʉ' pɨ' Mosi' usauro'sa' pʉra rɨ iyesi use'man nɨto' tʉrawasomanin nan pe. 15 Mɨrɨ awonsi'kɨ ina uya tasa' na'ne' esi wakʉ pe tenka'sen pe rɨ, tʉron nɨ use'man nɨto' tʉrawasomanin Merʉ'kisite' waraino usenpoikasa' pe iyesi yau, 16 kʉrɨ use'man nɨto' tʉrawasomanin pe iyenasa' main winɨ itamokori ton e'sa' wenai pen, e'tane tu'ma'sen pen uko'man nɨto' meruntɨrʉ winɨ. 17 Apʉne pʉra isekamasa': “Ɨmɨrɨ esi use'man nɨto' tʉrawasomanin pe inke rɨ, Merʉ'kisite' kasa kuru rɨ,” tukai'. 18 Wapiyaro' main, Mosi' winon utamasa' apʉne pʉra ɨ'sɨ'mʉra mɨrɨ awonsi'kɨ pika'tɨnin pe pʉra iyesi pɨ' 19 (apʉne pʉra main uya ɨ'rɨ konekasa' pʉra iyesi wakʉ pe), mɨrɨpan wakʉ parɨ nin si e'ku'nɨto' ekamasa', a'ko pe nin si Papa piya' une'nin kon. 20 Iye'ku'to' pe ikupʉ uya ta Papa uya a'kɨrɨ iyekonekasa'! Tʉron kon use'man nɨto' tʉrawasomanin nan ekonepɨtʉ'pʉ iye'ku'to' pe ikupʉ uya ta Papa uya a'kɨrɨ pʉra. 21 E'tane Sises ekoneka'pʉ use'man nɨto' tʉrawasomanin pe iye'ku'to' pe ikupʉ uya ta Papa uya a'kɨrɨ, ta'pʉ iya ipɨ' a'tai: “Itepuru uya iye'ku'to' pe ikupʉ uya tasa', mɨrɨpan uya teseru ensima pen: ‘Ɨmɨrɨ esi use'man nɨto' tʉrawasomanin pe inke rɨ.’” tasa' iya. 22 Apʉne pʉra serɨ tasa' pɨ', Sises ekonekasa' wakʉ kuru nin ekonekan nɨsa' wapiyaro' entaino ekamanin pe. 23 Mɨrɨ si, tu'ke rɨ kamoro use'man nɨto' tʉrawasomanin nan esi'pʉ, apʉne pʉra uma'tan nɨto' uya to' uko'mamʉ tʉtʉrawasooi kon kupʉ pɨ' poken pʉra ikupʉ wenai; 24 e'tane si, Sises uko'mamʉ pɨ' inke rɨ, aka'nero' pe pʉra nin si use'man nɨto' tʉrawasomanin ye' pe iyesi. 25 Mɨrɨ pe nin si iyesi pɨ', kamoro Papa piya' tʉuye'san tʉporo pika'tɨ iya mɨrɨ tenuka'nʉ'se kuru, apʉne pʉra tɨwɨrɨ rɨ tʉuko'mamʉ pɨ' to' pona usennan pɨ'. 26 Pʉse rɨ warai nin si use'man nɨto' tʉrawasomanin nan epuru uya i'se e'nɨto' eporo mɨrɨ—kʉrɨ wakʉ pe na'ne', ɨ'rɨ ɨri pʉn nɨ, esukenan nɨ, tʉmakooikena' nan piyapai iyemo'kasa', ka' enta' rɨ iyenu'sa'. 27 Tʉron kon use'man nɨto' tʉrawasomanin nan epuru ton kasa pʉra iyesi, wʉi kaisarɨ rɨ use'man nɨto' ton tʉrawasomato' iya pʉra iyesi, wapiya tʉmakooi iwano' pe mɨrɨ awonsi'kɨ ka'pon amʉ' makooi iwano' pe. To' makooi iwano' pe iye'tʉrʉ'pʉ tikin ite'kwa tʉnakonomaton pe pʉra rɨ tʉmɨrɨ pe use'man nɨto' ike pe. 28 Main uya ɨ'sɨ'mʉnon ka'pon amʉ' anʉmʉ use'man nɨto' tʉrawasomanin nan epuru ton pe; e'tane iye'to' pe tawon, iye'sa' na'ne' main ekoneka'pʉ tʉpo, uya Imu anʉmʉ'pʉ, iyekonekasa' wakʉ pe inkero' pe.
sample_bsn_01	bsn	Barasana-Eduria	train	regular_train	b.MAT.1.1	238	Jesús ñacami “Rotimu̶orũ̶gõru̶cu̶ja mu̶” yigu̶, Dios ĩ cõar'i, Abraham ñamasir'i, to yicõari, U̶ju̶ David ñamasir'i jãnami. Tire mu̶a masisere bojagu̶ ñari, ĩ ñicu̶a vãmere mu̶are gotigu̶agu̶ yaja yu̶. Ado bajiro vãme cu̶timasiñujarã ĩna:
sample_bsn_02	bsn	Barasana-Eduria	train	regular_train	b.MAT.1.2	148	Abraham ñamasir'i macu̶ ñamasiñuju Isaac. Isaac macu̶ ñamasiñuju Jacob. Jacob macu̶ ñamasiñuju Judá. To yicõari, gãjerã ĩ bederã quẽne ñamasiñujarã.
sample_bsn_03	bsn	Barasana-Eduria	train	regular_train	b.MAT.1.3	132	Judá rĩa Fares, to yicõari, Zara ñamasiñujarã. Ĩna jaco ñamasiñuju Tamar. Fares macu̶ ñamasiñuju Esrom. Esrom macu̶ ñamasiñuju Aram.
sample_bsn_04	bsn	Barasana-Eduria	train	regular_train	b.MAT.1.4	97	Aram macu̶ ñamasiñuju Aminadab. Aminadab macu̶ ñamasiñuju Naasón. Naasón macu̶ ñamasiñuju Salmón.
sample_bsn_05	bsn	Barasana-Eduria	train	regular_train	b.MAT.1.5	134	Salmón macu̶ ñamasiñuju Booz. Ĩ jaco ñamasiñuju Rahab. Booz macu̶ ñamasiñuju Obed. Ĩ jaco ñamasiñuju Rut. Obed macu̶ ñamasiñuju Isa'i.
sample_bsn_06	bsn	Barasana-Eduria	train	regular_train	b.MAT.1.6	124	Isa'i macu̶ ñamasiñuju U̶ju̶ David vãme cu̶tigu̶. David macu̶ ñamasiñuju Salomón. Ĩ jaco ñamasiñuju Ur'ias ñamasir'i manajo.
sample_bsn_07	bsn	Barasana-Eduria	train	regular_train	b.MAT.1.7	93	Salomón macu̶ ñamasiñuju Roboam. Roboam macu̶ ñamasiñuju Ab'ias. Ab'ias macu̶ ñamasiñuju Asa.
sample_bsn_08	bsn	Barasana-Eduria	train	regular_train	b.MAT.1.8	92	Asa macu̶ ñamasiñuju Josafat. Josafat macu̶ ñamasiñuju Joram. Joram macu̶ ñamasiñuju Uz'ias.
sample_bsn_09	bsn	Barasana-Eduria	train	regular_train	b.MAT.1.9	92	Uz'ias macu̶ ñamasiñuju Jotam. Jotam macu̶ ñamasiñuju Acaz. Acaz macu̶ ñamasiñuju Ezequ'ias.
sample_bsn_10	bsn	Barasana-Eduria	train	regular_train	b.MAT.1.10	97	Ezequ'ias macu̶ ñamasiñuju Manasés. Manasés macu̶ ñamasiñuju Amón. Amón macu̶ ñamasiñuju Jos'ias.
failure_bsn_01	bsn	Barasana-Eduria	train	long_train_candidate	b.LUK.1.68	1308	—Tirũ̶mu̶ju̶ ado bajiro Diore gotibosamasiñujarã ĩre gotirẽtobosamasiriarã: “Sĩgũ̶, U̶ju̶ David ñamasir'i jãnami, mu̶a jãnerabatiare ejarẽmogũ̶ ruyuaru̶cu̶mi. Ruyuacõari, mu̶a jãnerabatiare ĩaterimasa su̶orine rojose ĩna tãmu̶oborotire ĩnare yirẽtobosaru̶cu̶mi”, Diore yigotirẽtobosamasiñujarã ĩna. Ado bajiro mani ñicu̶are gotimasiñuju Dios: “Yu̶ goticatore bajiro mu̶are, mu̶a jãnerabatiare quẽne ĩamaicõari, quẽnaro ĩnare yicõa ñaru̶cu̶ja”, manire yigotimasiñuju Dios. Mani ñicu̶re, Abraham vãme cu̶timasir'ire quẽne ado bajiro gotimasiñuju Dios: “Yu̶ ñaja Dios. Riojo mu̶re gotiaja yu̶. Mu̶ jãnerabatiare gãjerã ĩna ĩatese su̶orine rojose ĩna tãmu̶oborotire ĩnare yirẽtobosaru̶cu̶ja yu̶. Ĩnare güimenane, yu̶ bojarore bajiro ‘Yimasiato ĩna’ yigu̶, to bajiro yiru̶cu̶ja yu̶. Adire masiritibetiru̶cu̶ja yu̶. To bajiri, ĩna catiñaro cõro ‘Yu̶are ĩagũ̶mi Dios’ yimasiritimenane, yu̶ bojarore bajiro quẽnaro yirũgũru̶arãma”, yigotimasiñuju Dios. To bajiri, ĩre gotirẽtobosarimasa, ĩna gotimasiriarore bajiro, to yicõari ĩ masune ĩ gotimasiriarore bajirone yigu̶agu̶ yigu̶mi Dios yuja. Yoaro mene adi macaru̶cu̶roju̶ vadicõari, ĩre ajitirũ̶nu̶rãre rojose mani tãmu̶oborotire yirẽtobosagu̶agu̶ yigu̶mi. To bajiro yirocu̶ ĩ ñajare, “Quẽnaro yaja mu̶”, Diore ĩre yivariquẽnato mani —yibasavariquẽnañuju Zacar'ias.
sample_chr_01	chr	Cherokee	train	regular_train	b.MAT.1.1	45	ᎯᎠ ᎪᏪᎵ ᎧᏃᎮᎭ ᏧᏁᏢᏔᏅᏒ ᏥᏌ ᎦᎶᏁᏛ, ᏕᏫ ᎤᏪᏥ, ᎡᏆᎭᎻ ᎤᏪᏥ.
sample_chr_02	chr	Cherokee	train	regular_train	b.MAT.1.2	60	ᎡᏆᎭᎻ ᎡᏏᎩ ᎤᏕᏁᎴᎢ; ᎡᏏᎩᏃ ᏤᎦᏈ ᎤᏕᏁᎴᎢ, ᏤᎦᏈᏃ ᏧᏓ ᎠᎴ ᎾᏍᎩ ᎠᎾᏓᏅᏟ ᎬᏩᏕᏁᎴᎢ;
sample_chr_03	chr	Cherokee	train	regular_train	b.MAT.1.3	66	ᏧᏓᏃ ᏇᎵᏏ ᎠᎴ ᏎᎳ ᎬᏩᏕᏁᎴᎢ ᏖᎹ ᏚᎾᏄᎪᏫᏎᎢ; ᏇᎵᏏᏃ ᎢᏏᎳᎻ ᎤᏕᏁᎴᎢ; ᎢᏏᎳᎻᏃ ᎡᎵᎻ ᎤᏕᏁᎴᎢ;
sample_chr_04	chr	Cherokee	train	regular_train	b.MAT.1.4	51	ᎡᎵᎻᏃ ᎡᎻᏂᏓᏈ ᎤᏕᏁᎴᎢ; ᎡᎻᏂᏓᏈᏃ ᎾᏐᏂ ᎤᏕᏁᎴᎢ; ᎾᏐᏂᏃ ᏌᎵᎹ ᎤᏕᏁᎴᎢ;
sample_chr_05	chr	Cherokee	train	regular_train	b.MAT.1.5	67	ᏌᎵᎹᏃ ᏉᏏ ᎤᏕᏁᎴᎢ ᎴᎭᏫ ᎤᎾᎸᎪᏫᏎᎢ; ᏉᏏᏃ ᎣᏇᏗ ᎤᏕᏁᎴᎢ ᎷᏏ ᎤᎾᏄᎪᏫᏎᎢ; ᎣᏇᏗᏃ ᏤᏏ ᎤᏕᏁᎴᎢ;
sample_chr_06	chr	Cherokee	train	regular_train	b.MAT.1.6	58	ᏤᏏᏃ ᏕᏫ ᎤᎬᏫᏳᎯ ᎤᏕᏁᎴᎢ; ᏕᏫᏃ ᎤᎬᏫᏳᎯ ᏐᎵᎹᏅ ᎤᏕᏁᎴᎢ ᏳᎳᏯ ᎤᏓᏴᏛ ᎤᎾᏄᎪᏫᏎᎢ;
sample_chr_07	chr	Cherokee	train	regular_train	b.MAT.1.7	47	ᏐᎵᎹᏅᏃ ᎶᏉᎹ ᎤᏕᏁᎴᎢ; ᎶᏉᎹᏃ ᎡᏆᏯ ᎤᏕᏁᎴᎢ; ᎡᏆᏯᏃ ᎡᏏ ᎤᏕᏁᎴᎢ;
sample_chr_08	chr	Cherokee	train	regular_train	b.MAT.1.8	46	ᎡᏏᏃ ᏦᏏᏆ ᎤᏕᏁᎴᎢ. ᏦᏏᏆᏃ ᏦᎳᎻ ᎤᏕᏁᎴᎢ; ᏦᎳᎻᏃ ᎣᏌᏯ ᎤᏕᏁᎴᎢ;
sample_chr_09	chr	Cherokee	train	regular_train	b.MAT.1.9	48	ᎣᏌᏯᏃ ᏦᏓᎻ ᎤᏕᏁᎴᎢ; ᏦᏓᎻᏃ ᎡᎭᏏ ᎤᏕᏁᎴᎢ; ᎡᎭᏏᏃ ᎮᏏᎦᏯ ᎤᏕᏁᎴᎢ;
sample_chr_10	chr	Cherokee	train	regular_train	b.MAT.1.10	48	ᎮᏏᎦᏯᏃ ᎹᎾᏏ ᎤᏕᏁᎴᎢ; ᎹᎾᏏᏃ ᎠᎼᏂ ᎤᏕᏁᎴᎢ; ᎠᎼᏂᏃ ᏦᏌᏯ ᎤᏕᏁᎴᎢ;
failure_chr_01	chr	Cherokee	train	long_train_candidate	b.REV.8.12	277	ᏅᎩᏁᏃ ᎨᏒ ᏗᎧᎿᏩᏗᏙᎯ ᎤᏤᎷᎯᏒᎩ, ᏅᏙᏃ ᎢᎦ ᎡᎯ ᏦᎢ ᎢᎦᏛᎯ ᎨᏒ ᎾᏍᎩ ᏌᏉ ᎢᏳᏪᏨᎯ ᎤᏩᏂᎸᎩ, ᎠᎴ ᏦᎢ ᎢᎦᏛᎯ ᎨᏒ ᎾᏍᎩ ᏌᏉ ᎢᏳᏪᏨᎯ ᏅᏙ ᏒᏃᏱ ᎡᎯ ᎤᏩᏂᎸᎩ, ᎠᎴ ᏦᎢ ᎢᏗᎦᏛᎯ ᎨᏒ ᎾᏍᎩ ᏌᏉ ᎢᏳᏪᏨᎯ ᏃᏈᏏ ᎠᏂᎧᎸ ᏚᏩᏂᎸᎩ; ᎾᏍᎩᏃ ᏦᎢ ᎢᏗᎦᏛᎯ ᎨᏒ ᎾᏍᎩ ᏌᏉ ᎢᏳᏪᏨᎯ ᏚᎵᏏᎲᏒᎩ, ᎠᎴ ᎢᎦ ᏦᎢ ᎢᎦᏛᎯ ᎨᏒ ᎾᏍᎩ ᏌᏉ ᎢᏳᏪᏨᎯ ᎥᏝ ᏯᎦᎵᏍᎨᎢ, ᎠᎴ ᏒᏃᏱ ᏦᎢ ᎢᎦᏛᎯ ᎨᏒ ᎾᏍᎩ ᏌᏉ ᎢᏳᏪᏨᎯ ᎾᏍᏉ ᎥᏝ ᏯᎦᎵᏍᎨᎢ.
sample_cop_01	cop	Coptic	train	regular_train	b.MAT.1.1	57	ⲠϪⲰⲘ ⲘⲘⲒⲤⲒ ⲚⲦⲈⲒⲎⲤⲞⲨⲤ ⲠⲬⲢⲒⲤⲦⲞⲤ ⲠϢⲎⲢⲒ ⲚⲆⲀⲨⲒⲆ ⲠϢⲎⲢⲒ ⲚⲀⲂⲢⲀⲀⲘ.
sample_cop_02	cop	Coptic	train	regular_train	b.MAT.1.2	78	ⲀⲂⲢⲀⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲤⲀⲀⲔ ⲒⲤⲀⲀⲔ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲀⲔⲰⲂ ⲒⲀⲔⲰⲂ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲞⲨⲆⲀⲤ ⲚⲈⲘ ⲚⲈϤⲤⲚⲎⲞⲨ.
sample_cop_03	cop	Coptic	train	regular_train	b.MAT.1.3	87	ⲒⲞⲨⲆⲀⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲪⲀⲢⲈⲤ ⲚⲈⲘ ⲌⲀⲢⲀ ⲈⲂⲞⲖ ϦⲈⲚⲐⲀⲘⲀⲢ ⲪⲀⲢⲈⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲤⲢⲰⲘ. ⲈⲤⲢⲰⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲢⲀⲘ.
sample_cop_04	cop	Coptic	train	regular_train	b.MAT.1.4	71	ⲀⲢⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲘⲒⲚⲀⲆⲀⲂ ⲀⲘⲒⲚⲀⲆⲀⲂ ⲆⲈ ⲀϤϪⲪⲈ ⲚⲀⲤⲤⲰⲚ ⲚⲀⲤⲤⲰⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲤⲀⲖⲘⲰⲚ.
sample_cop_05	cop	Coptic	train	regular_train	b.MAT.1.5	78	ⲤⲀⲖⲘⲰⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲂⲞⲈⲤ ⲈⲂⲞⲖ ϦⲈⲚⲢⲎⲬⲀⲂ ⲂⲞⲈⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲞⲨⲂⲎⲆ ⲒⲞⲨⲂⲎⲆ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲈⲤⲤⲈ.
sample_cop_06	cop	Coptic	train	regular_train	b.MAT.1.6	62	ⲒⲈⲤⲤⲈ ⲆⲈ ⲀϤϪⲪⲈ ⲆⲀⲨⲒⲆ ⲆⲀⲨⲒⲆ ⲆⲈ ⲀϤϪⲪⲈ ⲤⲞⲖⲞⲘⲰⲚ ⲈⲂⲞⲖ ϦⲈⲚⲐⲀ ⲞⲨⲢⲒⲀⲤ.
sample_cop_07	cop	Coptic	train	regular_train	b.MAT.1.7	64	ⲤⲞⲖⲞⲘⲰⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲢⲞⲂⲞⲀⲘ ⲢⲞⲂⲞⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲂⲒⲀ ⲀⲂⲒⲀ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲤⲀⲪ.
sample_cop_08	cop	Coptic	train	regular_train	b.MAT.1.8	66	ⲀⲤⲀⲪ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲤⲀⲪⲀⲦ ⲒⲰⲤⲀⲪⲀⲦ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲢⲀⲘ ⲒⲰⲢⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲞⲌⲒⲀⲤ.
sample_cop_09	cop	Coptic	train	regular_train	b.MAT.1.9	65	ⲞⲌⲒⲀⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲀⲐⲀⲘ ⲒⲰⲀⲐⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲬⲀⲌ ⲀⲬⲀⲌ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲌⲈⲔⲒⲀⲤ.
sample_cop_10	cop	Coptic	train	regular_train	b.MAT.1.10	68	ⲈⲌⲈⲔⲒⲀⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲘⲀⲚⲀⲤⲤⲎ ⲘⲀⲚⲀⲤⲤⲎ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲘⲰⲤ ⲀⲘⲰⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲤⲒⲀⲤ.
