language_script	language	group	status	pivot_language_script	shared_verses	written_samples	output	reason
por_Latn	por	seen	ready	deu_Latn	5916	5916	evaluation/download_data/download/roundtrip_alignment/roundtrip.por_Latn.jsonl	available
spa_Latn	spa	seen	ready	deu_Latn	7910	7910	evaluation/download_data/download/roundtrip_alignment/roundtrip.spa_Latn.jsonl	available
dan_Latn	dan	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.dan_Latn.jsonl	available
khm_Khmr	khm	seen	ready	deu_Latn	7867	7867	evaluation/download_data/download/roundtrip_alignment/roundtrip.khm_Khmr.jsonl	available
gla_Latn	gla	seen	ready	deu_Latn	7931	7931	evaluation/download_data/download/roundtrip_alignment/roundtrip.gla_Latn.jsonl	available
uig_Latn	uig	seen	ready	deu_Latn	7836	7836	evaluation/download_data/download/roundtrip_alignment/roundtrip.uig_Latn.jsonl	available
kat_Geor	kat	seen	ready	deu_Latn	4868	4868	evaluation/download_data/download/roundtrip_alignment/roundtrip.kat_Geor.jsonl	available
mlg_Latn	mlg	seen	skipped_bible_not_ready		0	0		missing_source_bible
snd_Arab	snd	seen	ready	deu_Latn	7920	7920	evaluation/download_data/download/roundtrip_alignment/roundtrip.snd_Arab.jsonl	available
ita_Latn	ita	seen	ready	deu_Latn	7932	7932	evaluation/download_data/download/roundtrip_alignment/roundtrip.ita_Latn.jsonl	available
hau_Arab	hau	seen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
cym_Latn	cym	seen	ready	deu_Latn	7938	7938	evaluation/download_data/download/roundtrip_alignment/roundtrip.cym_Latn.jsonl	available
srp_Latn	srp	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.srp_Latn.jsonl	available
zho_Hani	zho	seen	skipped_bible_not_ready		0	0		missing_source_bible
tha_Thai	tha	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.tha_Thai.jsonl	available
swe_Latn	swe	seen	ready	deu_Latn	7937	7937	evaluation/download_data/download/roundtrip_alignment/roundtrip.swe_Latn.jsonl	available
pan_Guru	pan	seen	ready	deu_Latn	7888	7888	evaluation/download_data/download/roundtrip_alignment/roundtrip.pan_Guru.jsonl	available
prs_Arab	prs	seen	ready	deu_Latn	7938	7938	evaluation/download_data/download/roundtrip_alignment/roundtrip.prs_Arab.jsonl	available
pes_Arab	pes	seen	ready	deu_Latn	7890	7890	evaluation/download_data/download/roundtrip_alignment/roundtrip.pes_Arab.jsonl	available
san_Latn	san	seen	ready	deu_Latn	7711	7711	evaluation/download_data/download/roundtrip_alignment/roundtrip.san_Latn.jsonl	available
kaz_Cyrl	kaz	seen	ready	deu_Latn	7915	7915	evaluation/download_data/download/roundtrip_alignment/roundtrip.kaz_Cyrl.jsonl	available
kur_Latn	kur	seen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
mal_Mlym	mal	seen	ready	deu_Latn	7936	7936	evaluation/download_data/download/roundtrip_alignment/roundtrip.mal_Mlym.jsonl	available
nep_Deva	nep	seen	ready	deu_Latn	7920	7920	evaluation/download_data/download/roundtrip_alignment/roundtrip.nep_Deva.jsonl	available
gle_Latn	gle	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.gle_Latn.jsonl	available
swa_Latn	swa	seen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
som_Latn	som	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.som_Latn.jsonl	available
lit_Latn	lit	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.lit_Latn.jsonl	available
fur_Latn	fur	unseen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
krc_Cyrl	krc	unseen	skipped_bible_not_ready		0	0		skipped_flag_not_one
acm_Arab	acm	unseen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
dzo_Tibt	dzo	unseen	skipped_bible_not_ready		0	0		skipped_flag_not_one
sat_Olck	sat	unseen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
mad_Latn	mad	unseen	skipped_bible_not_ready		0	0		skipped_flag_not_one
bam_Latn	bam	unseen	skipped_bible_not_ready		0	0		skipped_flag_not_one
kjb_Latn	kjb	unseen	skipped_bible_not_ready		0	0		skipped_flag_not_one
quw_Latn	quw	unseen	skipped_bible_not_ready		0	0		skipped_flag_not_one
rap_Latn	rap	unseen	skipped_bible_not_ready		0	0		skipped_flag_not_one
